selector,month,symbol,source_sessions
legacy,2025-09,MU,8
legacy,2025-09,NVDA,20
legacy,2025-10,AAPL,15
legacy,2025-10,AMZN,19
legacy,2025-10,GOOG,8
legacy,2025-10,MU,11
legacy,2025-10,NVDA,23
legacy,2025-10,SNDK,3
legacy,2025-11,AAPL,11
legacy,2025-11,AMZN,13
legacy,2025-11,GOOG,6
legacy,2025-11,MU,3
legacy,2025-11,NVDA,18
legacy,2025-11,SNDK,1
legacy,2025-12,AAPL,12
legacy,2025-12,AMZN,11
legacy,2025-12,COST,2
legacy,2025-12,GOOG,3
legacy,2025-12,MU,10
legacy,2025-12,NVDA,21
legacy,2025-12,SNDK,3
legacy,2026-01,AAPL,10
legacy,2026-01,AMZN,7
legacy,2026-01,GOOG,4
legacy,2026-01,MU,13
legacy,2026-01,NVDA,20
legacy,2026-01,SNDK,3
legacy,2026-02,AAPL,12
legacy,2026-02,AMZN,15
legacy,2026-02,GOOG,3
legacy,2026-02,MU,12
legacy,2026-02,NVDA,19
legacy,2026-02,SNDK,7
legacy,2026-03,AAPL,16
legacy,2026-03,AMZN,13
legacy,2026-03,GOOG,12
legacy,2026-03,MU,19
legacy,2026-03,NVDA,22
legacy,2026-03,SNDK,15
legacy,2026-04,AAPL,19
legacy,2026-04,AMZN,18
legacy,2026-04,COST,1
legacy,2026-04,GOOG,14
legacy,2026-04,MU,20
legacy,2026-04,NVDA,21
legacy,2026-04,SNDK,16
legacy,2026-05,AAPL,17
legacy,2026-05,AMZN,16
legacy,2026-05,COST,13
legacy,2026-05,GOOG,12
legacy,2026-05,MU,20
legacy,2026-05,NVDA,20
legacy,2026-05,SNDK,19
legacy,2026-06,AAPL,20
legacy,2026-06,AMZN,17
legacy,2026-06,COST,21
legacy,2026-06,GOOG,18
legacy,2026-06,MU,21
legacy,2026-06,NVDA,21
legacy,2026-06,SNDK,21
legacy,2026-07,AAPL,16
legacy,2026-07,AMZN,15
legacy,2026-07,COST,22
legacy,2026-07,GOOG,15
legacy,2026-07,MU,22
legacy,2026-07,NVDA,22
legacy,2026-07,SNDK,22
legacy,2026-08,AAPL,19
legacy,2026-08,AMZN,16
legacy,2026-08,COST,21
legacy,2026-08,GOOG,12
legacy,2026-08,MU,21
legacy,2026-08,NVDA,21
legacy,2026-08,SNDK,21
legacy,2026-09,AAPL,7
legacy,2026-09,AMZN,7
legacy,2026-09,COST,8
legacy,2026-09,GOOG,8
legacy,2026-09,MU,8
legacy,2026-09,NVDA,8
legacy,2026-09,SNDK,8
repaired,2023-04,AAPL,18
repaired,2023-04,AMZN,18
repaired,2023-04,COST,16
repaired,2023-04,GOOG,17
repaired,2023-04,MU,17
repaired,2023-04,NVDA,18
repaired,2023-05,AAPL,22
repaired,2023-05,AMZN,22
repaired,2023-05,COST,22
repaired,2023-05,GOOG,22
repaired,2023-05,MU,22
repaired,2023-05,NVDA,22
repaired,2023-06,AAPL,21
repaired,2023-06,AMZN,21
repaired,2023-06,COST,21
repaired,2023-06,GOOG,21
repaired,2023-06,MU,21
repaired,2023-06,NVDA,21
repaired,2023-07,AAPL,20
repaired,2023-07,AMZN,20
repaired,2023-07,COST,20
repaired,2023-07,GOOG,20
repaired,2023-07,MU,20
repaired,2023-07,NVDA,20
repaired,2023-08,AAPL,23
repaired,2023-08,AMZN,23
repaired,2023-08,COST,23
repaired,2023-08,GOOG,23
repaired,2023-08,MU,23
repaired,2023-08,NVDA,23
repaired,2023-09,AAPL,20
repaired,2023-09,AMZN,20
repaired,2023-09,COST,20
repaired,2023-09,GOOG,20
repaired,2023-09,MU,20
repaired,2023-09,NVDA,20
repaired,2023-10,AAPL,22
repaired,2023-10,AMZN,22
repaired,2023-10,COST,22
repaired,2023-10,GOOG,22
repaired,2023-10,MU,22
repaired,2023-10,NVDA,22
repaired,2023-11,AAPL,21
repaired,2023-11,AMZN,21
repaired,2023-11,COST,21
repaired,2023-11,GOOG,21
repaired,2023-11,MU,21
repaired,2023-11,NVDA,21
repaired,2023-12,AAPL,20
repaired,2023-12,AMZN,20
repaired,2023-12,COST,20
repaired,2023-12,GOOG,20
repaired,2023-12,MU,20
repaired,2023-12,NVDA,20
repaired,2024-01,AAPL,21
repaired,2024-01,AMZN,21
repaired,2024-01,COST,21
repaired,2024-01,GOOG,21
repaired,2024-01,MU,21
repaired,2024-01,NVDA,21
repaired,2024-02,AAPL,20
repaired,2024-02,AMZN,20
repaired,2024-02,COST,20
repaired,2024-02,GOOG,20
repaired,2024-02,MU,20
repaired,2024-02,NVDA,20
repaired,2024-03,AAPL,20
repaired,2024-03,AMZN,20
repaired,2024-03,COST,20
repaired,2024-03,GOOG,20
repaired,2024-03,MU,20
repaired,2024-03,NVDA,20
repaired,2024-04,AAPL,22
repaired,2024-04,AMZN,22
repaired,2024-04,COST,22
repaired,2024-04,GOOG,22
repaired,2024-04,MU,22
repaired,2024-04,NVDA,22
repaired,2024-05,AAPL,22
repaired,2024-05,AMZN,22
repaired,2024-05,COST,22
repaired,2024-05,GOOG,22
repaired,2024-05,MU,22
repaired,2024-05,NVDA,22
repaired,2024-06,AAPL,19
repaired,2024-06,AMZN,19
repaired,2024-06,COST,19
repaired,2024-06,GOOG,19
repaired,2024-06,MU,19
repaired,2024-06,NVDA,19
repaired,2024-07,AAPL,22
repaired,2024-07,AMZN,22
repaired,2024-07,COST,22
repaired,2024-07,GOOG,22
repaired,2024-07,MU,22
repaired,2024-07,NVDA,22
repaired,2024-08,AAPL,22
repaired,2024-08,AMZN,22
repaired,2024-08,COST,22
repaired,2024-08,GOOG,22
repaired,2024-08,MU,22
repaired,2024-08,NVDA,22
repaired,2024-09,AAPL,20
repaired,2024-09,AMZN,20
repaired,2024-09,COST,20
repaired,2024-09,GOOG,20
repaired,2024-09,MU,20
repaired,2024-09,NVDA,20
repaired,2024-10,AAPL,23
repaired,2024-10,AMZN,23
repaired,2024-10,COST,23
repaired,2024-10,GOOG,23
repaired,2024-10,MU,23
repaired,2024-10,NVDA,23
repaired,2024-11,AAPL,20
repaired,2024-11,AMZN,20
